Highway,Side,Between,Prohibited Times and/or Days,parsed_data
Shamokin Drive,East,Olsen Drive (south intersection) and a point opposite the northerly limit of Ruden Crescent,Anytime,
Seacliff Boulevard,West,Duncanwoods Drive and a point opposite the southerly limit of Navenby Crescent,Anytime,
Secroft Crescent,Both,Gosford Boulevard (north intersection) and a point 252 metres west and south,Anytime,
Roywood Drive,East,A point opposite the easterly limit of Sandover Drive and a point opposite the easterly limit of Marbury Crescent (west intersection),Anytime,
Rochefort Drive,South,A point opposite the easterly limit of Ferrand Road (west intersection) and Deauville Lane,Anytime,
Wildcat Road,West and north,Canarctic Drive (southwest intersection) and a point 248 metres north and east,Anytime,
York Mills Road,North,Victoria Park Avenue and a point opposite the easterly limit of Rayoak Drive,Anytime,
William Cragg Drive,West and south,Wilson Avenue and a point opposite the easterly limit of Redfern Avenue,Anytime,
Wyndale Drive,South,Keele Street and a point opposite the westerly limit of Wickford Drive,Anytime,
Wyndcliff Crescent,South and east,Sweeney Drive and a point opposite the easterly limit of Teak Avenue,Anytime,
Verobeach Boulevard,West,A point opposite the northerly limit of Coral Gable Drive and a point 60 metres north thereof,9:00 p.m. of one day to 9:00 a.m. of the next following day,
Upper Canada Drive,East and south,Lord Seaton Road and a point 183 metres north and east of Lord Seaton Road,Anytime,
Wendell Avenue,East,Gary Drive and a point 30 metres nother,Anytime,
Torresdale Avenue,West,A point opposite the southerly limit of Cedarcroft Boulevard and a point opposite the southerly limit of Antibes Drive (southwest intersection),Anytime,
Valley Road,North,A point opposite the westerly limit of Valley Ridge Place and Bayview Ridge,Anytime,
Wenderly Drive,South,Dufferin Street and a point opposite the westerly limit of Carousel Court,Anytime,
Tottenham Road,South and west,Leslie Street and a point 66.5 metres east and south of Leslie Street,Anytime,
Van Horne Avenue,North,Don Mills Road and a point opposite the easterly limit of Tumbleweed Road,Anytime,
Elmartin Drive,South,A point 275 metres west northwest of Ambercroft Boulevard (south intersection) and a point 85 metres further northwest,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",
Glendower Circuit,South (inner radius),Birchmount Road (north intersection) and a point opposite the north limit of Andes Road,Anytime,
Irving Road,North,A point 20 metres west of Keele Street to a point 107 metres further west,"9:31 a.m. to 10:59 a.m., 1:01 p.m. to 2:59 p.m., 4:01 p.m. to 8:29 a.m., Mon. to Fri.",
Margueretta Street,East,College Street and a point 66 metres north thereof,Anytime,
Palmdale Drive,East and North,A point 388 metres south and east of Sheppard Avenue East and a point 91 metres further south and east,Anytime,
Palmdale Drive,North,A point 509 metres south and east of Sheppard Avenue East and Warden Avenue,Anytime,
Parkhurst Boulevard,North,Sutherland Drive and a point opposite the east limit of Randolph Road,"8:00 a.m. to 10:00 a.m., 3:00 p.m. to 5:00 p.m., Mon. to Fri.",
Palmdale Drive,East and North,Sheppard Avenue East and a point 147 metres south and east of Sheppard Avenue East,Anytime,
Palmdale Drive,North and East,A point 202 metres south and east of Sheppard Avenue East and a point 81metres further south and east,Anytime,
Firgrove Crescent,North,Elana Drive and a point 110 metres southwest of Elana Drive,Anytime,
Firgrove Crescent,North,A point 194 metres southwest of Elana Drive and Picaro Drive,Anytime,
Firgrove Crescent,North,A point 110 metres southwest of Elana Drive and a point 84 metres further southwest,6:00 p.m. of one day to 8:00 a.m. of the next following day,
Starcross Court,South and east,Emily Avenue and 100 metres west,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",
Blackfriar Avenue,East,A point 130 metres northeast of Dixon Road and Kingsview Boulevard,Anytime,
River Valley Crescent,North,A point opposite the east limit of Tanglewood Terrace and Stephen Drive,Anytime,
Mathersfield Drive,North,A point 105 metres north and east of Pricefield Road and Mathersfield Drive (easterly north/south leg),"8:00 a.m. to 10:00 a.m., Mon. to Fri.",
Tilbury Drive,North and west,A point opposite the west limit of Hawksdale Road and Cuffley Crescent South,"8:30 a.m. to 6:00 p.m., Mon. to Fri.",
MacPhail Avenue,North,"Pape Avenue to the first lane west of East York Avenue, south of Mortimer Avenue","Jan., Feb., Mar., Apr., Jun., Aug., Oct. and Dec.",
East York Avenue,West,Mortimer Avenue to MacPhail Avenue,"May, Jul., Sep. and Nov.",
East York Avenue,East,Mortimer Avenue to MacPhail Avenue,"Jan., Feb., Mar., Apr., Jun., Aug., Oct. and Dec.",
Gowan Avenue,North,Broadview Avenue to Logan Avenue,"May, Jul., Sep. and Nov.",
Gowan Avenue,South,Broadview Avenue to Logan Avenue,"Jan., Feb., Mar., Apr., Jun., Aug., Oct. and Dec.",
Everett Crescent,South and West,Oak Park Avenue to Wallington Avenue,"May, Jul., Sep. and Nov.",
Everett Crescent,North and East,Oak Park Avenue to Wallington Avenue,"Jan., Feb., Mar., Apr., Jun., Aug., Oct. and Dec.",
MacPhail Avenue,South,"Pape Avenue to the first lane west of East York Avenue, south of Mortimer Avenue","May, Jul., Sep. and Nov.",
John Tabor Trail,Southeast,Brenyon Way and 56 metres further northeast,Anytime,
Hainford Street,North,Manse Road and a point 201 metres east and south of Manse Road,Anytime,
Hainford Street,East and south,A point 331 metres east and south of Manse Road and a point 32 metres further south and west,Anytime,
Hainford Street,West and north,A point 331 metres east and south of Manse Road and a point 30 metres further south and west,Anytime,
Bain Avenue,South,Carlaw Avenue to Pape Avenue,"First day to the 15th day of each month, from Apr. 1 to Nov. 30, inclusive",
Milverton Boulevard,North,Woodbine Avenue to Coleridge Avenue,"Jan., Feb., Mar., Apr., Jun., Aug., Oct. and Dec.",
Deerhide Crescent,Both,Arrow Road (north intersection) and a point 240 metres west/south,Anytime,
Rostrevor Road,West,Dewbourne Avenue and appoint 44 metres south of Eglinton Avenue West,"8:00 a.m. to 10:00 a.m., and 4:00 p.m. to 6:00 p.m. Mon. to Fri.",
Wanless Avenue,South,Cardinal Place and a point opposite the west side of Deal Avenue,"8:30 a.m. to 5:00 p.m., Mon. to Fri.",
Hearth Place,"North, South and West",North-west end of Hearth Place and a point 28 metres east and south,Anytime,
Jane Street,East,A point opposite the south limit of Lessard Avenue and Nelles Avenue,7:00 a.m. to 9:00 a.m. and 4:00 p.m. to 6:00 p.m. Mon. to Fri. except public holidays,
Sutherland Drive,West,Broadway Avenue ad Donlea Drive,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",
Shaughnessey Boulevard,West,A point opposite Rochelle Crescent (north intersection) and Dallington Drive,Anytime,
Lorraine Drive,South,A point opposite the easterly limit of Madeline Road and a point opposite the easterly limit of Blakeley Road,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",
Rockelm Road,Both,Arden Crescent (south intersection) and a point 94 metres east and north,7:00 a.m. to 6:00 p.m. Mon. to Fri.,
James Gray Drive,North and east,Mallaby Road (south intersection) and a point 180 metres west and north,Anytime,
Milvan Drive,North and east,A point 198 metres southeast of Penn Drive (northwest intersection) and Finch Avenue West,Anytime,
Milvan Drive,North and east,A point opposite Penn Drive (northwest intersection) and a point 198 metres southeast,8:00 a.m. to 6:00 p.m. Mon. to Fri.,
Milvan Drive,North and east,Millwick Drive (northwest intersection) and a point opposite Penn Drive (northwest intersection),Anytime,
Hobart Drive,Both,A point 191 metres southeast of Seneca Hill Drive and a point 30 metres further southeast,Anytime,
Hobart Drive,West and south,Seneca Hill Drive and a point 191 metres southeast,8:00 a.m. to 6:00 p.m. Mon. to Fri.,
Hobart Drive,West and south,A point 221 metres southeast of Seneca Hill Drive and Van Horne Avenue,8:00 a.m. to 6:00 p.m. Mon. to Fri.,
Cartwright Avenue,South,A point opposite the easterly limit of Jane Osler Boulevard and Dufferin Street,8:00 a.m. to 6:00 p.m.,
Darnborough Way,Both,Brookmill Boulevard and a point 109 metres north/west,Anytime,
Genthorn Avenue,North,A point opposite the west limit of Moncrieff Drive and a point opposite the east limit of Moncrieft Drive,9:00 a.m. to 5:00 p.m.,
Culford Road,West,Woolton Crescent/Harrow Drive and Ridge Point Crescent/George Anderson Drive,Anytime,
Crawfoot Place,Both,Eaglepoint Road and west end of Crawfoot Place,2:00 a.m. to 6:00 a.m.,
Echo Point,Both,Bridletowne Circle (east branch) and west end of Echo Point,2:00 a.m. to 6:00 a.m.,
Echo Point,Both,Bridletowne Circle (east branch) and west end of Echo Point,2:00 a.m. to 6:00 a.m.,
Highview Road,West,Downsview Avenue and a point 29 metres nroth,Anytime,
Sudbury Street,South,A point 81 metres southeast of Queen Street West and Dovercourt Road,Anytime,
Sudbury Street,South,Queen Street West and a point 59.5 metres southeast,Anytime,
Settlers Road,West,A point 405 metres south and west of Sheppard Avenue East and the west end of Settlers Road,Anytime,
Millwick Drive,North and East,A point 162 metres southeast of Milvan Drive (northwest intersection) and a point 229 metres further south and east,Anytime,
Millwick Drive,South and West,A point 159 metres southeast of Milvan Drive (northwest intersection) and a point 226 metres further south and east,Anytime,
Millwick Drive,East and North,Milvan Drive (southeast intersection) and a point 378 metres north and west,Anytime,
Millwick Drive,West and South,Milvan Drive (southeast intersection) and a point 338 metres north and west,Anytime,
Thornhill Avenue,East,Raymond Avenue and Baby Point Road,"Anytime, Mon. to Sat.",
Baby Point Crescent,South,Baby Point Road (west intersection) and L'Estrange Place,Anytime,
Baby Point Crescent,South,Fleur Place and Baby Point Road (East Intersection),Anytime,
Thornhill Avenue,East,Baby Point Road and the north limit of Thornhill Avenue,Anytime,
Baby Point Road,South,Baby Point Crescent (west intersection) and Baby Point Crescent (east intersection),Anytime,
Budgell Terrace,North,A point 54 metres south of Windemere to a point 13 metres further north-west,Anytime,
Silvio Avenue,West,Zenith Drive to a point 24.5 metres further south,Anytime,
Russell Hill Road,East,Boulton Drive and point 31.4 metres north,Anytime,
Tandridge Crescent,East and south (outer circle),A point 380 metres northeast of Arcot Boulevard and Byng Avenue,Anytime,
Tandridge Crescent,West and north (outer circle),Arcot Boulevard and a point 380 metres northeast,8:00 a.m. to 5:00 p.m. Mon. to Fri.,
Melita Crescent,North and west,A point 61 metres south and east of Wychcrest Avenue (west intersection) and Lambertlodge Avenue (east intersection),"Each Thu., Apr. 1 to Nov. 30, inclusive",
Linnsmore Crescent,West,Danforth Avenue and 36.5 metres north of Strathmore Boulevard,Anytime,
Bartlett Avenue North,West,Geary Avenue a point 46 metres north,Anytime,
Hartfield Road,South,A point 100 metres southwest of The Kingsway to a point 62 metres further southwest,9:00 a.m. to 11:00 a.m. and 1:00 p.m. to 3:00 p.m. Mon. to Fri.,
Hartfield Road,South,A point 162 metres southwest of The Kingsway and Anglesey Boulevard,"8:00 a.m. to 5:00 p.m., Mon. to Fri.",
The Kingsway,South and west,A point 67 metres southeast of Hartfield Road and a point 66 metres further southeast,All times,
Forest Point Drive,East and south,A point 93 metres west and north of Forest Point Drive (south intersection) to a point 22 metres further north and east,Anytime,
Sylvan Avenue (TO),South,A point 41 metres east of Dufferin Street to a point 30 metres further east,"12:00 p.m. to 2:00 p.m., and 6:00 p.m. of one day to 7:00 a.m. of the next following day Mon. to Fri.; Anytime, Sat., Sun. and public holidays",
Cordova Avenue,East,Dundas Street and a point 104 metres northwest of Central Park Roadway (west intersection),Anytime,
Phoebe Street,South,Spadina Avenue and 40 metres east,Anytime,
Yore Road,South,A point 26 metres east of Richardson Avenue to the east end of Yore Road,"Anytime, from the 16th day to the last day of each month from Apr. 1 to Nov. 30, inclusive",
Alcorn Avenue,North,103 metres west of Yonge Street to Walker Avenue,Anytime,
Windsor Street,West,Portland Street to a point 50 metres north of Newcastle Street,Anytime,
Ontario Street,West,Carlton Street to Aberdeen Avenue,Anytime,
Driftwood Avenue,East,A point opposite the northerly limit of Yorkwoods Gate and London Green Court,"7:00 a.m. to 7:00 p.m., Mon. to Sat.",
Driftwood Avenue,West,A point opposite the northerly limit of Futura Drive and London Green Court,"7:00 a.m. to 7:00 p.m., Mon. to Sat.",
Austin Terrace,North,Hilton Avenue and a point 64 meters west of Lyndhurst Avenue,"Anytime, from the 16th day to the last day of each month, Apr. 1 to Nov. 30, inclusive; Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive",
Austin Terrace,South,Hilton Avenue and a point 53 meters west of Lyndhurst Avenue,"Anytime, from the 1st day to the 15th day of each month, Apr. 1 to Nov. 30, inclusive",
Donlands Avenue,North and east,O'Connor Drive and 88 metres south of Millwood Road,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays",
Donlands Avenue,South and west,O'Connor Drive and 15 metres east of Chilton Road,"7:00 a.m. to 9:00 a.m., Mon. to Fri., except public holidays",
Cordova Avenue,West,Dundas Street West and a point 15 metres southeast,Anytime,
Cordova Avenue,West,A point 120 metres southeast of Dundas Street West and Islington Avenue,Anytime,
Campbell Avenue,West,Dupont Street and a point 28 north,"Anytime, except each Thurs., from Apr. 1 to Nov. 30, inclusive",
Breadalbane Street,South,A point 76 metres east of Bay Street to a point 38 metres further east,Anytime,
